question_id,temporal_distance,recency_score,subject_fact_count,overlap_count,subject_fact_density,domain,task_family,as_of_day,subject
q1,17,0.288135593220339,22,79,0.275,medium,AsOfQA,43,model_3
q1,44,0.7457627118644068,46,79,0.575,fast,PastQueryTrap,16,status_18
q1,25,0.423728813559322,10,29,0.3333333333333333,slow,PastQueryTrap,35,hw_1
q1,0,0.0,48,19,2.4,fast,CurrentQuery,60,sts9
q10,39,0.6610169491525424,24,79,0.3,medium,AsOfQA,21,model_29
q10,0,0.0,20,49,0.4,medium,CurrentQuery,60,model_7
q10,52,0.8813559322033898,44,69,0.6285714285714286,fast,DecayTrap,8,doc_6
q10,0,0.0,14,9,1.4,medium,CurrentQuery,60,api9
q100,1,0.016949152542372836,26,79,0.325,medium,AsOfQA,59,pricing_6
q100,0,0.0,19,49,0.38,medium,CurrentQuery,60,model_3
q100,1,0.016949152542372836,20,39,0.5,medium,CurrentQuery,59,mdl_0
q100,54,0.9152542372881356,42,19,2.1,fast,OverlapQuery,6,sts3
q1000,8,0.13559322033898302,36,69,0.5142857142857142,fast,AsOfQA,52,status_7
q1000,60,1.0,46,79,0.575,fast,ChangeDetection,0,incident_12
q1000,49,0.8305084745762712,44,69,0.6285714285714286,fast,DecayTrap,11,doc_6
q1000,28,0.47457627118644063,5,9,0.5,slow,OverlapQuery,32,hw3
q1001,34,0.576271186440678,37,69,0.5285714285714286,fast,AsOfQA,26,incident_9
q1001,13,0.22033898305084743,9,39,0.225,slow,PastQueryTrap,47,spec_11
q1001,50,0.847457627118644,46,69,0.6571428571428571,fast,DecayTrap,10,inc_19
q1001,1,0.016949152542372836,13,9,1.3,medium,CurrentQuery,59,api0
q1002,6,0.10169491525423724,30,79,0.375,medium,AsOfQA,54,model_23
q1002,7,0.11864406779661019,20,39,0.5,slow,PastQueryTrap,53,spec_7
q1002,48,0.8135593220338984,11,29,0.36666666666666664,slow,DecayTrap,12,spec_10
q1002,0,0.0,44,19,2.2,fast,CurrentQuery,60,sts4
q1003,49,0.8305084745762712,14,59,0.23333333333333334,slow,AsOfQA,11,spec_0
q1003,53,0.8983050847457628,43,79,0.5375,fast,PastQueryTrap,7,docs_19
q1003,55,0.9322033898305084,51,69,0.7285714285714285,fast,PastQueryTrap,5,doc_16
q1003,50,0.847457627118644,47,19,2.35,fast,OverlapQuery,10,sts18
q1004,48,0.8135593220338984,17,59,0.2833333333333333,slow,AsOfQA,12,spec_23
q1004,41,0.6949152542372881,40,79,0.5,fast,PastQueryTrap,19,status_7
q1004,51,0.864406779661017,13,29,0.43333333333333335,slow,DecayTrap,9,hw_13
q1004,0,0.0,47,19,2.35,fast,CurrentQuery,60,sts18
q1005,9,0.15254237288135597,28,79,0.35,medium,AsOfQA,51,api_1
q1005,15,0.2542372881355932,17,39,0.425,slow,PastQueryTrap,45,hardware_11
q1005,4,0.06779661016949157,12,9,1.2,medium,CurrentQuery,56,api5
q1006,45,0.7627118644067796,19,79,0.2375,medium,AsOfQA,15,model_17
q1006,42,0.711864406779661,49,79,0.6125,fast,PastQueryTrap,18,docs_10
q1006,56,0.9491525423728814,50,69,0.7142857142857143,fast,PastQueryTrap,4,inc_20
q1006,5,0.0847457627118644,8,9,0.8,medium,OverlapQuery,55,api6
q1007,45,0.7627118644067796,41,69,0.5857142857142857,fast,AsOfQA,15,status_4
q1007,29,0.4915254237288136,37,79,0.4625,fast,PastQueryTrap,31,docs_12
q1007,15,0.2542372881355932,48,69,0.6857142857142857,fast,PastQueryTrap,45,doc_4
q1007,14,0.23728813559322037,46,19,2.3,fast,OverlapQuery,46,sts6
q1008,17,0.288135593220339,26,69,0.37142857142857144,fast,AsOfQA,43,status_13
q1008,54,0.9152542372881356,20,39,0.5,slow,PastQueryTrap,6,hardware_5
q1008,57,0.9661016949152542,26,39,0.65,medium,OverlapTrap,3,prc_1
q1008,0,0.0,20,9,2.0,medium,CurrentQuery,60,api4
q1009,8,0.13559322033898302,20,79,0.25,medium,AsOfQA,52,api_0
q1009,52,0.8813559322033898,34,79,0.425,fast,PastQueryTrap,8,incident_22
q1009,0,0.0,10,29,0.3333333333333333,slow,CurrentQuery,60,hw_14
q1009,57,0.9661016949152542,20,9,2.0,medium,OverlapQuery,3,api4
q101,55,0.9322033898305084,27,79,0.3375,medium,AsOfQA,5,api_12
q101,0,0.0,44,79,0.55,fast,CurrentQuery,60,incident_29
q101,0,0.0,47,69,0.6714285714285714,fast,CurrentQuery,60,sts_2
q101,3,0.05084745762711862,10,9,1.0,medium,CurrentQuery,57,api8
q1010,6,0.10169491525423724,35,69,0.5,fast,AsOfQA,54,incident_1
q1010,0,0.0,43,79,0.5375,fast,CurrentQuery,60,incident_6
q1010,0,0.0,19,39,0.475,medium,CurrentQuery,60,api_3
q1010,0,0.0,43,19,2.15,fast,CurrentQuery,60,sts17
q1011,10,0.1694915254237288,40,69,0.5714285714285714,fast,AsOfQA,50,docs_2
q1011,29,0.4915254237288136,25,49,0.5,medium,PastQueryTrap,31,model_2
q1011,6,0.10169491525423724,11,29,0.36666666666666664,slow,CurrentQuery,54,spec_10
q1011,7,0.11864406779661019,50,19,2.5,fast,PastQueryTrap,53,sts19
q1012,23,0.38983050847457623,36,69,0.5142857142857142,fast,AsOfQA,37,docs_8
